Partial_Postcode,Population2023,LSOA_Code,Postcode,Town,District,County
BS4 2,10003.833686235801,E01014651,BS4 2JP,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 2,10003.833686235801,E01014730,BS4 2BG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 2,10003.833686235801,E01014651,BS4 2LR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014533,BS4 3LE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014533,BS4 3AT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014534,BS4 3JU,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014730,BS4 3EF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014531,BS4 3AX,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014730,BS4 3TA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014732,BS4 3EQ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014732,BS4 3EN,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014533,BS4 3NQ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014531,BS4 3EA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014534,BS4 3JY,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014732,BS4 3BW,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014531,BS4 3EZ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014649,BS4 3DF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014732,BS4 3BL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014531,BS4 3EU,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014533,BS4 3LF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014527,BS4 3LG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014533,BS4 3LB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 3,8905.704777372765,E01014732,BS4 3DJ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 4,12451.494642437845,E01014537,BS4 4ET,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 4,12451.494642437845,E01014530,BS4 4RQ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 5,3832.389442927688,E01014526,BS4 5RT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 5,3832.389442927688,E01014535,BS4 5AW,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
